dataset,story_name,text_file,has_v2,v2_path,has_v3,v3_path,has_narrative
ChineseTales,CH_016_愚公移山,datasets/ChineseTales/texts/CH_016_愚公移山.txt,True,datasets/ChineseTales/json_v2/CH_016_愚公移山_v2.json,True,datasets/ChineseTales/json_v3/CH_016_愚公移山_v3.json,False
ChineseTales,CH_017_田螺姑娘,datasets/ChineseTales/texts/CH_017_田螺姑娘.txt,True,datasets/ChineseTales/json_v2/CH_017_田螺姑娘_v2.json,True,datasets/ChineseTales/json_v3/CH_017_田螺姑娘_v3.json,False
ChineseTales,CH_018_聚宝盆,datasets/ChineseTales/texts/CH_018_聚宝盆.txt,True,datasets/ChineseTales/json_v2/CH_018_聚宝盆_v2.json,True,datasets/ChineseTales/json_v3/CH_018_聚宝盆_v3.json,False
ChineseTales,CH_019_七仙女和仙浴潭,datasets/ChineseTales/texts/CH_019_七仙女和仙浴潭.txt,True,datasets/ChineseTales/json_v2/CH_019_七仙女和仙浴潭_v2.json,True,datasets/ChineseTales/json_v3/CH_019_七仙女和仙浴潭_v3.json,False
ChineseTales,CH_021_叶限(中国灰姑娘),datasets/ChineseTales/texts/CH_021_叶限(中国灰姑娘).txt,True,datasets/ChineseTales/json_v2/CH_021_叶限(中国灰姑娘)_v2.json,True,datasets/ChineseTales/json_v3/CH_021_叶限(中国灰姑娘)_v3.json,False
ChineseTales,CH_022_画皮,datasets/ChineseTales/texts/CH_022_画皮.txt,True,datasets/ChineseTales/json_v2/CH_022_画皮_v2.json,True,datasets/ChineseTales/json_v3/CH_022_画皮_v3.json,False
ChineseTales,CH_023_劳山道士,datasets/ChineseTales/texts/CH_023_劳山道士.txt,True,datasets/ChineseTales/json_v2/CH_023_劳山道士_v2.json,True,datasets/ChineseTales/json_v3/CH_023_劳山道士_v3.json,False
ChineseTales,CH_024_促织(蟋蟀),datasets/ChineseTales/texts/CH_024_促织(蟋蟀).txt,True,datasets/ChineseTales/json_v2/CH_024_促织(蟋蟀)_v2.json,True,datasets/ChineseTales/json_v3/CH_024_促织(蟋蟀)_v3.json,False
ChineseTales,CH_025_东郭先生与狼,datasets/ChineseTales/texts/CH_025_东郭先生与狼.txt,True,datasets/ChineseTales/json_v2/CH_025_东郭先生与狼_v2.json,True,datasets/ChineseTales/json_v3/CH_025_东郭先生与狼_v3.json,False
ChineseTales,CH_026_聂小倩,datasets/ChineseTales/texts/CH_026_聂小倩.txt,True,datasets/ChineseTales/json_v2/CH_026_聂小倩_v2.json,True,datasets/ChineseTales/json_v3/CH_026_聂小倩_v3.json,False
ChineseTales,CH_027_成仙,datasets/ChineseTales/texts/CH_027_成仙.txt,True,datasets/ChineseTales/json_v2/CH_027_成仙_v2.json,True,datasets/ChineseTales/json_v3/CH_027_成仙_v3.json,False
