level,code,description,parent_code
3,A600-A649,CREATION OF THE UNIVERSE,A600-A899
3,A600-A699,The universe,A600-A899
3,A650-A699,NATURE OF THE UNIVERSE,A600-A899
3,A700-A799,The heavens,A600-A899
3,A710-A739,THE SUN,A600-A899
3,A740-A759,THE MOON,A600-A899
3,A760-A789,THE STARS,A600-A899
3,A910-A949,WATER FEATURES,A900-A999
3,A950-A999,LAND FEATURES,A900-A999
3,B0-B99,Mythical animals,B0-B99
3,B100-B119,Treasure animals,B100-B199
3,B100-B119,TREASURE ANIMALS,B100-B199
3,B100-B199,Magic animals,B100-B199
3,B100-B199,Magic animals,B100-B199
3,B120-B169,Animals with magic wisdom,B100-B199
3,B120-B169,ANIMALS WITH MAGIC WISDOM,B100-B199
3,B170-B189,Other magic animals,B100-B199
3,B170-B189,OTHER MAGIC ANIMALS,B100-B199
3,B200-B299,Animals with human traits.,B200-B299
3,B300-B349,Helpful animals—general,B300-B599
3,B300-B349,Helpful animals—general,B300-B599
3,B300-B599,FRIENDLY ANIMALS,B300-B599
3,B350-B399,Grateful animals,B300-B599
3,B350-B399,Grateful animals,B300-B599
3,B400-B449,Helpful beasts,B300-B599
3,B400-B449,HELPFUL BEASTS,B300-B599
3,B400-B499,Kinds of helpful animals,B300-B599
3,B400-B499,Kinds of helpful animals.,B300-B599
3,B500-B599,Services of helpful animals,B300-B599
3,B500-B599,Services of helpful animals.,B300-B599
3,B600-B699,Marriage of person to animal.,B600-B699
3,B700-B799,Fanciful traits of animals.,B700-B799
3,B720-B749,Fanciful physical qualities of animals,B700-B799
3,B800-B899,Miscellaneous animal motifs,B800-B899
3,C0-C99,Tabu connected with supernatural beings.,C0-C99
3,C100-C199,Sex tabu,C100-C199
